policy,interactions,assurance_spend_inr,loss_averted_inr,residual_loss_inr,assurance_roi,escaped_harm_rate_unchecked,escaped_harm_rate_effective,release_rate,intervention_precision,coverage,abstention_rate,budget_variance,cost_per_1k_inr,budget_fraction,attention_spend_inr,audit_spend_inr,total_assurance_inr,total_assurance_roi,cases_raised,cases_shed,shed_rate
allocator,1500.0,480.98,5078000.0,576300.0,10557.611543099505,0.04904051172707889,0.036298932384341634,0.9366666666666666,0.1930164888457808,0.6873333333333334,0.01,0.002041666666694947,320.6533333333333,0.1,19920.0,28200.0,20400.98,248.90961120495191,246.0,80.0,0.3252032520325203
check_none,1500.0,0.0,3184800.0,2469500.0,0.0,0.09618104667609619,0.09618104667609619,0.9426666666666667,0.0,0.0,0.009333333333333334,-1.0,0.0,0.1,10440.0,68640.0,10440.0,305.0574712643678,88.0,1.0,0.011363636363636364
check_all,1500.0,4800.0,5469400.0,184900.0,1139.4583333333333,0.0,0.012022630834512023,0.9426666666666667,0.148,1.0,0.009333333333333334,2.8232231367535444e-14,3200.0,0.1,19920.0,5400.0,24720.0,221.25404530744336,303.0,137.0,0.4521452145214521
fixed_rate,1500.0,270.0,5199700.0,454600.0,19258.14814814815,0.0,0.02050919377652051,0.9426666666666667,0.148,1.0,0.009333333333333334,-0.4374999999999841,180.0,0.1,19920.0,5400.0,20190.0,257.5383853392769,303.0,137.0,0.4521452145214521
allocator,1500.0,1098.5800000000002,5407000.0,247300.0,4921.808152342113,0.0,0.02109090909090909,0.9166666666666666,0.148,1.0,0.012666666666666666,-0.08451666666664069,732.3866666666668,0.25,19920.0,5400.0,21018.58,257.24858672660093,327.0,161.0,0.4923547400611621
check_none,1500.0,0.0,3184800.0,2469500.0,0.0,0.09618104667609619,0.09618104667609619,0.9426666666666667,0.0,0.0,0.009333333333333334,-1.0,0.0,0.25,10440.0,68640.0,10440.0,305.0574712643678,88.0,1.0,0.011363636363636364
check_all,1500.0,4800.0,5469400.0,184900.0,1139.4583333333333,0.0,0.012022630834512023,0.9426666666666667,0.148,1.0,0.009333333333333334,2.8232231367535444e-14,3200.0,0.25,19920.0,5400.0,24720.0,221.25404530744336,303.0,137.0,0.4521452145214521
fixed_rate,1500.0,270.0,5199700.0,454600.0,19258.14814814815,0.0,0.02050919377652051,0.9426666666666667,0.148,1.0,0.009333333333333334,-0.7749999999999937,180.0,0.25,19920.0,5400.0,20190.0,257.5383853392769,303.0,137.0,0.4521452145214521
allocator,1500.0,1920.18,5452100.0,202200.0,2839.3692258017477,0.0,0.01483679525222552,0.8986666666666666,0.1487935656836461,0.9946666666666667,0.015333333333333332,9.375000002822066e-05,1280.12,0.4,19920.0,5520.0,21840.18,249.63622094689694,344.0,178.0,0.5174418604651163
check_none,1500.0,0.0,3184800.0,2469500.0,0.0,0.09618104667609619,0.09618104667609619,0.9426666666666667,0.0,0.0,0.009333333333333334,-1.0,0.0,0.4,10440.0,68640.0,10440.0,305.0574712643678,88.0,1.0,0.011363636363636364
check_all,1500.0,4800.0,5469400.0,184900.0,1139.4583333333333,0.0,0.012022630834512023,0.9426666666666667,0.148,1.0,0.009333333333333334,2.8232231367535444e-14,3200.0,0.4,19920.0,5400.0,24720.0,221.25404530744336,303.0,137.0,0.4521452145214521
fixed_rate,1500.0,1920.0,5269400.0,384900.0,2744.4791666666665,0.043333333333333335,0.034653465346534656,0.9426666666666667,0.305,0.4,0.009333333333333334,2.81848618518181e-14,1280.0,0.4,19920.0,46560.0,21840.0,241.27289377289378,225.0,59.0,0.26222222222222225
allocator,1500.0,2812.84,5465800.0,188500.0,1943.1606490237623,0.0,0.011737089201877934,0.852,0.148,1.0,0.022,-0.02331944444441679,1875.2266666666667,0.6,19920.0,5400.0,22732.84,240.4363027232849,406.0,240.0,0.5911330049261084
check_none,1500.0,0.0,3184800.0,2469500.0,0.0,0.09618104667609619,0.09618104667609619,0.9426666666666667,0.0,0.0,0.009333333333333334,-1.0,0.0,0.6,10440.0,68640.0,10440.0,305.0574712643678,88.0,1.0,0.011363636363636364
check_all,1500.0,4800.0,5469400.0,184900.0,1139.4583333333333,0.0,0.012022630834512023,0.9426666666666667,0.148,1.0,0.009333333333333334,2.8232231367535444e-14,3200.0,0.6,19920.0,5400.0,24720.0,221.25404530744336,303.0,137.0,0.4521452145214521
fixed_rate,1500.0,2812.8,5377900.0,276400.0,1911.938282138794,0.043478260869565216,0.027581329561527583,0.9426666666666667,0.22184300341296928,0.586,0.009333333333333334,-0.023333333333305666,1875.2,0.6,19920.0,32640.0,22732.8,236.5700661599099,303.0,137.0,0.4521452145214521
allocator,1500.0,3839.6400000000003,5477300.0,177000.0,1426.5139440155847,0.0,0.011666666666666667,0.8,0.148,1.0,0.03133333333333333,-9.374999997173252e-05,2559.76,0.8,19920.0,4800.0,23759.64,230.52958714862683,484.0,318.0,0.6570247933884298
check_none,1500.0,0.0,3184800.0,2469500.0,0.0,0.09618104667609619,0.09618104667609619,0.9426666666666667,0.0,0.0,0.009333333333333334,-1.0,0.0,0.8,10440.0,68640.0,10440.0,305.0574712643678,88.0,1.0,0.011363636363636364
check_all,1500.0,4800.0,5469400.0,184900.0,1139.4583333333333,0.0,0.012022630834512023,0.9426666666666667,0.148,1.0,0.009333333333333334,2.8232231367535444e-14,3200.0,0.8,19920.0,5400.0,24720.0,221.25404530744336,303.0,137.0,0.4521452145214521
fixed_rate,1500.0,3836.8,5457200.0,197100.0,1422.3311092577146,0.03322259136212625,0.018387553041018388,0.9426666666666667,0.176814011676397,0.7993333333333333,0.009333333333333334,-0.0008333333333051246,2557.866666666667,0.8,19920.0,17760.0,23756.8,229.71107219827587,303.0,137.0,0.4521452145214521
allocator,1500.0,4800.0,5477300.0,177000.0,1141.1041666666667,0.0,0.012556053811659192,0.7433333333333333,0.148,1.0,0.04066666666666666,2.8232231367535444e-14,3200.0,1.0,19920.0,4680.0,24720.0,221.57362459546925,569.0,403.0,0.7082601054481547
check_none,1500.0,0.0,3184800.0,2469500.0,0.0,0.09618104667609619,0.09618104667609619,0.9426666666666667,0.0,0.0,0.009333333333333334,-1.0,0.0,1.0,10440.0,68640.0,10440.0,305.0574712643678,88.0,1.0,0.011363636363636364
check_all,1500.0,4800.0,5469400.0,184900.0,1139.4583333333333,0.0,0.012022630834512023,0.9426666666666667,0.148,1.0,0.009333333333333334,2.8232231367535444e-14,3200.0,1.0,19920.0,5400.0,24720.0,221.25404530744336,303.0,137.0,0.4521452145214521
fixed_rate,1500.0,4800.0,5469400.0,184900.0,1139.4583333333333,0.0,0.012022630834512023,0.9426666666666667,0.148,1.0,0.009333333333333334,2.8232231367535444e-14,3200.0,1.0,19920.0,5400.0,24720.0,221.25404530744336,303.0,137.0,0.4521452145214521
